Vehicle_ID,Vehicle_Type,Fuel_Type,Route_Type,Vehicle_Age,Mileage,Usage_Hours,Driving_Score,Load_Capacity,Engine_Temperature,Tire_Pressure,Battery_Health,Fuel_Consumption_Before,Need_Maintenance,Service_Required,Breakdown_Risk,Vehicle_Health_Score,Estimated_Maintenance_Cost,Fuel_Consumption_After
VH00076,SUV,Diesel,Urban,3,16504,2917,91,657,105,34,55,10.72,0,No Service,Low,73.02,2568,9.29
VH00077,Van,Petrol,Rural,5,289369,5050,58,3608,105,38,94,10.18,0,No Service,Low,57.94,642,8.32
VH00078,Van,Hybrid,Urban,1,237581,2939,49,2691,84,36,41,8.2,0,No Service,Low,60.46,733,6.27
VH00079,Truck,Diesel,Highway,6,112891,7989,85,4128,106,38,65,9.84,0,No Service,Low,60.16,2110,8.36
VH00080,Van,Electric,Highway,3,264936,7591,76,4282,72,30,53,7.45,1,Battery Check,Medium,54.11,19720,6.89
VH00081,Truck,Petrol,Urban,1,102732,8114,51,4321,117,34,71,10.84,1,Oil Change,High,52.38,9241,9.73
VH00082,Van,Diesel,Highway,10,160362,7791,58,3188,99,33,84,10.31,1,Battery Check,Medium,52.37,16036,9.62
VH00083,Sedan,Diesel,Highway,6,260848,542,41,1192,126,29,84,12.9,1,Battery Check,Medium,49.21,12535,11.56
VH00084,Van,Diesel,Highway,14,216732,6494,54,1551,92,33,37,17.25,1,Engine Service,High,40.66,13234,16.15
VH00085,Truck,Electric,Rural,12,245358,8102,77,4383,102,30,90,7.41,1,Oil Change,High,48.18,8917,5.8
VH00086,Truck,Petrol,Urban,10,274416,10375,47,3422,70,29,56,10.43,1,Oil Change,High,41.01,16111,9.03
VH00087,SUV,Hybrid,Urban,2,147213,11219,85,2598,70,32,92,12.31,0,No Service,Low,65.17,1155,11.53
VH00088,Sedan,Hybrid,Urban,8,142143,9513,74,2656,72,32,61,12.11,0,No Service,Low,55.82,551,11.38
VH00089,Van,Hybrid,Highway,14,158192,11741,77,633,78,38,89,13.6,0,No Service,Low,61.47,2924,12.95
VH00090,SUV,Petrol,Rural,13,101477,10732,82,4250,101,29,64,8.48,1,Engine Service,High,46.03,9258,6.87
VH00091,Van,Hybrid,Urban,15,245752,10654,69,2627,82,30,45,13.25,1,Engine Service,Medium,38.8,5044,12.25
VH00092,Van,Electric,Highway,11,165205,994,48,2885,125,35,65,7.62,1,Battery Check,Medium,52.91,10973,6.45
VH00093,SUV,Petrol,Rural,12,123646,2353,69,4697,114,32,85,6.63,1,Battery Check,Medium,54.81,18359,5.49
VH00094,SUV,Diesel,Rural,2,195935,2110,88,4926,100,35,59,15.81,0,No Service,Low,56.65,962,14.32
VH00095,SUV,Electric,Urban,4,292098,6957,58,4971,126,37,61,11.16,1,Engine Service,High,43.93,7274,10.59
VH00096,SUV,Diesel,Urban,14,142691,5093,68,2778,90,31,50,10.16,1,Engine Service,Medium,49.89,8540,9.13
VH00097,SUV,Hybrid,Highway,3,208812,4735,41,1974,92,31,85,17.07,1,Oil Change,Medium,52.4,10193,16.43
VH00098,Van,Electric,Urban,9,87230,11507,67,1548,82,33,69,14.23,0,No Service,Low,55.35,1471,13.65
VH00099,SUV,Petrol,Highway,2,120122,7908,47,915,95,37,83,13.8,0,No Service,Low,64.05,662,13.18
VH00100,Sedan,Electric,Rural,3,181414,7097,64,4897,94,38,59,7.53,0,No Service,Low,58.36,828,6.39
VH00101,Truck,Diesel,Rural,7,283592,10852,49,2666,122,32,49,7.72,1,Oil Change,Medium,39.44,15948,6.18
VH00102,SUV,Petrol,Rural,4,172282,11138,61,2878,77,32,30,11.28,1,Oil Change,Medium,48.88,3832,10.09
VH00103,SUV,Electric,Rural,6,206119,9337,74,1161,109,36,47,13.48,1,Oil Change,High,52.8,10997,12.61
VH00104,Van,Electric,Urban,3,265984,4933,81,4954,99,33,86,10.14,0,No Service,Low,56.53,576,8.66
VH00105,SUV,Electric,Urban,1,209372,3034,63,788,120,30,88,5.83,0,No Service,Low,65.03,931,5.03
VH00106,SUV,Electric,Highway,11,205807,8762,65,3100,74,38,42,13.88,1,Engine Service,Medium,50.61,6664,12.81
VH00107,SUV,Petrol,Highway,6,283611,471,70,2225,93,31,61,15.06,1,Battery Check,Medium,53.52,14837,13.13
VH00108,Van,Diesel,Highway,4,149271,11695,62,1074,79,36,99,17.28,0,No Service,Low,62.07,1448,15.53
VH00109,SUV,Electric,Highway,2,37095,7098,41,1216,88,33,62,10.31,0,No Service,Low,63.09,2283,8.44
VH00110,Truck,Petrol,Highway,7,118715,1503,98,3912,104,38,94,8.35,0,No Service,Low,73.06,2958,7.62
VH00111,Van,Diesel,Rural,15,239071,4702,78,4522,91,35,32,17.04,1,Battery Check,High,39.57,4170,15.6
VH00112,Truck,Electric,Rural,10,270769,4046,72,2893,108,38,34,14.3,1,Battery Check,Medium,47.45,5544,13.33
VH00113,Van,Diesel,Rural,13,128562,4773,63,4580,124,34,41,5.83,1,Oil Change,Medium,45.5,9886,4.11
VH00114,SUV,Diesel,Highway,12,285761,10812,51,3562,107,39,62,12.54,1,Oil Change,High,41.26,6592,11.36
VH00115,Truck,Petrol,Rural,15,38304,1107,76,1512,76,28,56,5.37,0,No Service,Low,64.5,2348,3.77
VH00116,Van,Diesel,Rural,13,106729,11638,48,2860,108,28,42,7.94,1,Oil Change,High,37.54,9008,6.98
VH00117,Sedan,Petrol,Rural,5,196293,767,83,2633,89,37,65,5.92,0,No Service,Low,72.03,1637,5.32
VH00118,SUV,Electric,Rural,6,218171,1546,82,2446,109,34,87,7.66,0,No Service,Low,65.89,2042,6.04
VH00119,Van,Diesel,Urban,6,81120,4066,83,4012,125,29,93,11.37,0,No Service,Low,55.94,2138,9.97
VH00120,Sedan,Diesel,Highway,14,84341,10199,42,1851,101,36,79,8.89,1,Battery Check,High,53.13,5981,7.09
VH00121,Van,Hybrid,Highway,9,84625,10659,83,3397,71,39,80,6.14,0,No Service,Low,69.89,587,5.47
VH00122,Sedan,Electric,Urban,12,165757,10397,62,3575,84,37,33,11.27,1,Engine Service,High,46.44,7148,9.31
VH00123,SUV,Electric,Rural,2,75416,4468,63,4404,79,39,73,14.21,0,No Service,Low,66.2,1180,12.34
VH00124,Truck,Hybrid,Rural,12,123792,5417,72,3755,90,36,47,5.69,0,No Service,Low,57.76,1833,4.21
VH00125,Sedan,Hybrid,Rural,6,70356,7346,69,2847,84,39,47,16.47,0,No Service,Low,59.22,2058,15.18
VH00126,Van,Petrol,Highway,9,283254,3129,77,1027,103,29,35,13.49,1,Battery Check,High,46.93,5440,12.39
VH00127,SUV,Petrol,Highway,12,109464,8332,82,3153,104,36,88,11.75,0,No Service,Low,57.74,738,11.11
VH00128,Sedan,Diesel,Highway,4,251549,5992,41,3474,120,36,92,10.15,1,Battery Check,Medium,51.96,11470,8.26
VH00129,Van,Diesel,Highway,13,162200,7290,79,3196,74,37,72,10.11,0,No Service,Low,60.41,1374,9.32
VH00130,Van,Diesel,Highway,12,115635,4904,61,1781,125,33,98,9.36,0,No Service,Low,56.9,2899,8.33
VH00131,Van,Diesel,Urban,13,24684,6479,50,3779,88,32,98,6.5,0,No Service,Low,59.25,1920,5.73
VH00132,Sedan,Petrol,Highway,13,123102,8417,98,4516,76,37,38,6.03,0,No Service,Low,58.98,2010,5.14
VH00133,Sedan,Electric,Rural,11,296563,877,51,3794,122,29,52,9.01,1,Oil Change,High,39.06,18650,7.93
VH00134,Sedan,Diesel,Highway,6,269714,9127,58,4436,115,33,40,13.67,1,Oil Change,High,35.89,11929,12.13
VH00135,Truck,Electric,Urban,7,142599,9170,59,1544,113,38,90,8.75,0,No Service,Low,62.03,2361,7.03
VH00136,Sedan,Diesel,Rural,1,268293,4589,94,3939,127,36,46,15.56,1,Battery Check,High,50.64,16581,14.97
VH00137,Sedan,Hybrid,Urban,5,37757,6370,48,812,111,30,79,9.94,0,No Service,Low,59.75,2188,8.22
VH00138,Sedan,Diesel,Rural,4,219693,7381,82,815,111,30,82,13.21,0,No Service,Low,57.02,2990,11.52
VH00139,Truck,Diesel,Highway,13,287349,9128,97,2950,105,38,43,10.61,1,Battery Check,High,49.22,6139,9.91
VH00140,Sedan,Diesel,Urban,13,260929,8816,57,2390,87,31,68,11.47,1,Engine Service,High,44.51,10752,10.56
VH00141,Van,Petrol,Rural,13,30994,9543,80,4118,75,37,84,8.25,0,No Service,Low,64.17,643,7.63
VH00142,Sedan,Hybrid,Highway,10,131409,7788,86,4721,121,38,38,11.68,1,Engine Service,High,47.81,5702,10.45
VH00143,Van,Diesel,Rural,15,264457,4341,93,4500,73,39,92,6.44,0,No Service,Low,65.13,2279,4.49
VH00144,Van,Diesel,Urban,15,96170,7430,57,995,74,31,56,10.03,1,Battery Check,High,54.6,13048,8.21
VH00145,Van,Electric,Urban,2,118502,9026,79,1480,83,28,64,10.83,0,No Service,Low,60.72,2691,9.02
VH00146,Truck,Hybrid,Urban,2,40569,6971,75,2528,110,29,89,14.15,0,No Service,Low,59.52,2898,13.46
VH00147,Truck,Diesel,Urban,2,120702,268,66,2592,116,33,59,10.2,0,No Service,Low,62.03,1887,8.35
VH00148,Truck,Electric,Highway,7,278770,9440,52,3407,102,32,68,13.65,1,Engine Service,Medium,41.23,9051,13.12
VH00149,Sedan,Electric,Rural,11,111159,8591,86,3643,122,37,81,7.27,0,No Service,Low,58.06,1118,5.63
VH00150,Van,Petrol,Highway,13,13964,11613,47,1227,90,31,87,5.33,0,No Service,Low,58.54,2337,4.38
VH00151,Truck,Electric,Urban,11,263695,5133,87,4693,82,37,94,11.58,0,No Service,Low,58.89,1275,10.32
VH00152,Truck,Diesel,Rural,4,290202,621,82,1967,71,36,58,11.16,0,No Service,Low,68.04,2482,9.56
VH00153,Sedan,Petrol,Urban,15,232374,8909,62,1614,84,29,87,13.71,1,Engine Service,High,46.28,8159,12.24
VH00154,Truck,Petrol,Highway,6,252706,11876,94,2177,116,39,71,9.08,0,No Service,Low,58.6,2856,8.07
VH00155,Sedan,Diesel,Highway,7,176232,10009,98,2543,85,35,57,5.39,0,No Service,Low,64.38,2808,3.66
VH00156,SUV,Hybrid,Highway,9,157334,8593,52,2664,104,39,39,14.41,1,Oil Change,High,47.6,12891,12.93
VH00157,Truck,Electric,Rural,11,254280,8944,46,4464,114,38,40,17.25,1,Oil Change,High,32.87,10494,15.48
VH00158,SUV,Petrol,Rural,2,235573,3401,89,3614,89,31,89,10.13,0,No Service,Low,64.23,2566,9.08
VH00159,Sedan,Hybrid,Urban,10,151956,4259,79,4666,70,36,59,12.94,0,No Service,Low,57.9,1938,12.27
VH00160,Van,Diesel,Rural,12,269533,10929,41,3343,127,31,78,12.08,1,Engine Service,Medium,32.52,13065,11.02
VH00161,Truck,Electric,Rural,13,14433,2379,42,3386,115,29,98,12.36,1,Oil Change,Medium,50.76,19292,11.12
VH00162,Sedan,Electric,Highway,9,100196,9914,81,606,72,33,89,16.28,0,No Service,Low,63.72,1731,15.56
VH00163,Van,Petrol,Urban,11,124455,1781,78,2841,86,39,57,14.57,0,No Service,Low,62.57,1893,13.23
VH00164,Van,Electric,Highway,5,296946,191,62,4552,86,36,49,15.01,1,Engine Service,Medium,51.51,5421,13.52
VH00165,SUV,Electric,Urban,13,259117,3806,99,1630,110,34,88,6.17,0,No Service,Low,63.39,1784,5.67
VH00166,Sedan,Electric,Urban,6,248875,1060,46,1609,89,28,41,6.91,1,Battery Check,High,52.84,6799,5.57
VH00167,Van,Electric,Rural,6,67012,4259,43,4081,89,36,34,13.62,1,Battery Check,Medium,51.52,19024,12.93
VH00168,Truck,Diesel,Highway,11,124610,943,92,1750,73,33,59,12.03,0,No Service,Low,67.07,2605,11.31
VH00169,Truck,Hybrid,Rural,3,259964,318,94,3141,80,36,62,15.07,0,No Service,Low,65.52,1925,14.0
VH00170,SUV,Diesel,Rural,11,218758,8995,47,3573,84,29,39,6.21,1,Battery Check,Medium,41.45,5822,5.57
VH00171,Van,Diesel,Rural,11,18157,6128,71,2589,126,38,68,12.36,0,No Service,Low,57.56,2652,11.01
VH00172,Sedan,Petrol,Urban,10,58742,346,58,580,114,34,95,11.32,0,No Service,Low,67.11,1305,9.71
VH00173,Truck,Electric,Highway,7,237016,5209,93,3035,96,35,89,16.11,0,No Service,Low,58.9,2340,15.12
VH00174,Van,Diesel,Highway,15,17675,8348,51,1415,129,35,70,7.43,1,Battery Check,Medium,52.93,3409,5.53
VH00175,Van,Electric,Rural,13,298372,6224,96,761,93,32,98,9.53,0,No Service,Low,61.36,2708,7.97
VH00176,SUV,Diesel,Urban,7,290395,6425,49,3819,89,34,66,6.96,1,Engine Service,High,50.83,11501,4.97
VH00177,Truck,Diesel,Highway,8,33349,6407,53,3540,113,34,37,10.87,1,Oil Change,Medium,49.01,16813,9.46
VH00178,Truck,Petrol,Highway,5,139417,10150,66,3162,84,30,86,16.46,1,Battery Check,High,51.47,6954,15.27
VH00179,Sedan,Hybrid,Rural,2,261916,2012,83,3494,75,38,96,13.71,0,No Service,Low,70.73,2074,12.07
VH00180,Truck,Hybrid,Urban,15,252217,4321,60,2472,87,38,57,14.68,1,Engine Service,High,49.79,8349,13.58
VH00181,Sedan,Diesel,Rural,13,215732,7474,59,2674,91,29,43,6.21,1,Battery Check,Medium,44.83,13339,5.71
VH00182,Truck,Petrol,Highway,3,147660,366,96,1827,118,32,40,10.88,0,No Service,Low,62.57,2818,10.06
VH00183,SUV,Electric,Urban,9,106479,3582,43,4385,90,31,58,15.9,1,Oil Change,Medium,44.91,18925,15.09
VH00184,Truck,Electric,Rural,15,255198,9972,58,1339,93,35,83,15.89,1,Battery Check,Medium,46.21,10598,14.65
VH00185,Sedan,Diesel,Highway,6,139044,11485,68,4336,86,39,38,17.84,1,Engine Service,Medium,47.2,18709,16.28
VH00186,Sedan,Hybrid,Rural,8,97687,1631,46,3813,80,32,65,11.84,0,No Service,Low,56.1,1791,10.5
VH00187,SUV,Petrol,Rural,8,138325,10298,92,4148,87,36,48,5.03,0,No Service,Low,59.69,984,4.37
VH00188,Truck,Hybrid,Rural,14,73196,4664,72,1047,104,34,36,16.69,1,Battery Check,Medium,50.48,13061,15.8
VH00189,Truck,Electric,Urban,5,42400,4328,47,4662,124,38,46,17.43,1,Oil Change,High,47.1,9737,16.73
VH00190,SUV,Hybrid,Highway,1,285680,11742,50,4166,100,28,77,17.06,1,Oil Change,Medium,36.7,6679,16.44
VH00191,Truck,Electric,Highway,6,232682,7255,72,3126,97,29,80,15.03,1,Oil Change,Medium,48.18,17925,14.3
VH00192,Truck,Petrol,Highway,7,194001,9311,64,4376,93,35,87,7.75,0,No Service,Low,55.69,2962,6.48
VH00193,Sedan,Petrol,Highway,9,186585,417,72,1825,105,37,36,6.81,0,No Service,Low,62.14,2915,5.17
VH00194,Truck,Diesel,Urban,2,94607,9892,75,4291,114,35,91,14.11,0,No Service,Low,56.38,2876,13.02
VH00195,Truck,Diesel,Rural,12,48100,810,65,3371,93,29,96,6.83,0,No Service,Low,63.26,960,6.02
VH00196,SUV,Hybrid,Highway,13,229798,11488,75,1074,102,34,44,17.39,1,Engine Service,Medium,41.46,18550,16.25
VH00197,SUV,Petrol,Urban,2,232688,8742,50,1601,120,35,96,10.8,0,No Service,Low,56.59,1838,9.8
VH00198,Van,Petrol,Rural,10,42947,10173,69,529,99,31,82,5.4,0,No Service,Low,63.86,1500,4.83
VH00199,Sedan,Diesel,Urban,1,250153,1843,96,1875,121,30,70,6.96,0,No Service,Low,64.16,1163,5.07
VH00200,Truck,Electric,Urban,5,69413,1423,72,3310,106,37,46,8.78,0,No Service,Low,64.66,2280,8.26
VH00201,Truck,Hybrid,Highway,2,244840,11852,49,4448,82,36,86,14.15,1,Engine Service,High,50.38,19781,13.59
VH00202,Van,Hybrid,Highway,3,268810,2780,68,4304,85,29,73,14.58,1,Battery Check,High,50.91,4049,13.63
VH00203,Truck,Diesel,Rural,2,45860,4337,64,4964,117,30,93,7.77,0,No Service,Low,59.49,971,6.1
VH00204,Sedan,Petrol,Rural,11,23727,3151,71,4231,112,35,49,13.43,1,Battery Check,High,52.3,11707,12.2
VH00205,Van,Diesel,Highway,4,236575,4764,43,4897,78,29,30,5.41,1,Engine Service,High,46.1,16162,4.15
VH00206,Sedan,Diesel,Urban,11,263873,10643,94,4022,119,32,60,6.34,1,Battery Check,Medium,45.22,9896,4.91
VH00207,Van,Diesel,Highway,3,153996,2804,96,2854,116,37,46,11.96,0,No Service,Low,62.95,1952,11.39
VH00208,Van,Diesel,Rural,9,281359,5775,98,4250,82,39,70,14.15,0,No Service,Low,58.38,1787,12.21
VH00209,SUV,Electric,Urban,10,255911,6887,78,3634,76,35,57,16.89,1,Oil Change,High,48.98,18739,15.56
VH00210,Sedan,Electric,Urban,12,100124,2740,73,1799,104,34,78,10.69,0,No Service,Low,61.79,2496,8.96
VH00211,Truck,Petrol,Urban,2,100826,11740,61,3565,113,31,84,6.56,0,No Service,Low,55.19,549,5.42
VH00212,Truck,Diesel,Highway,7,70494,7476,52,1386,95,37,37,17.08,1,Oil Change,Medium,53.16,16333,15.92
VH00213,Sedan,Electric,Highway,15,189081,8238,93,2058,119,36,61,10.69,1,Engine Service,High,51.59,5693,9.93
VH00214,Truck,Petrol,Rural,11,264200,5462,90,4307,78,29,80,11.47,1,Oil Change,Medium,51.42,12988,10.43
VH00215,Truck,Diesel,Urban,14,273288,794,75,3485,104,34,98,16.11,1,Engine Service,High,51.35,10420,15.33
VH00216,Sedan,Hybrid,Urban,3,136223,4353,45,4284,93,34,67,12.62,1,Engine Service,High,54.14,16397,10.75
VH00217,Van,Electric,Highway,10,240096,10485,98,2546,102,34,48,8.92,1,Battery Check,Medium,51.82,4302,7.93
VH00218,Sedan,Petrol,Rural,8,218098,8631,93,3957,90,34,35,12.03,1,Engine Service,Medium,49.34,12445,10.93
VH00219,Van,Hybrid,Rural,4,168116,1868,56,3800,122,32,74,13.12,1,Battery Check,Medium,51.25,9823,12.42
VH00220,Truck,Diesel,Urban,14,213707,8383,65,3798,91,28,99,16.57,1,Engine Service,High,41.18,18230,14.58
VH00221,Truck,Diesel,Highway,4,251687,271,63,3898,108,31,45,8.05,1,Oil Change,High,51.84,12039,6.7
